canonical_smiles,docking_score,QED,Synthetic Accessibility,PAINS,SureChEMBL,Glaxo,Brenk,IC50,Chirality,FullStereoInfo,NumChiralCenters,E/Z_status,ligand_name,Minimum Energy
C=CCc1cccc(/C=N/c2ncccc2O)c1O,-6.4,0.6508198526466199,2.8210668922424667,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_4032,-6.2
OCC(CO)(CO)CO,-3.5,0.3581212523869495,2.9519628286942137,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_4033,-3.5
Cc1nnc(O)nc1N/N=C/c1ccc(O)c([N+](=O)[O-])c1,-6.3,0.4279753236912881,2.8735319493446365,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_4034,-6.5
CC(=C/c1ccccc1)/C=N/n1c(S)nnc1-c1ccco1,-7.2,0.5893845658643987,2.7565055687252187,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4035,-7.2
COc1ccc(C(=O)N/N=C(/C)c2cccc(NC(=O)C(F)(F)F)c2)cc1,-7.8,0.6176722386808194,2.0773625522746126,0,1,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4036,-7.5
CCc1ccc(C=C2SC(=S)NC2=O)cc1,-6.5,0.6452512207745754,2.203428475348332,1,1,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_4039,-6.4
C/C(=N\NC(=O)c1ccc(CSc2nncn2C)cc1)c1cccs1,-5.1,0.4098092344223412,2.381639697715105,0,1,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4041,-4.7
NC(=O)N/N=C/c1ccccc1OC(=O)c1ccccc1Br,-7.6,0.3789978455784872,2.1029273274100824,0,1,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4042,-7.5
CC1CCN(S(=O)(=O)c2ccc(C(=O)Nc3nnc(-c4ccno4)o3)cc2)CC1,11.2,0.6692937329663716,2.520905329306212,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_4043,15.9
Sc1nnc(COc2ccccc2)n1/N=C/c1ccc(Cl)cc1Cl,-6.3,0.5302604136725587,2.4430522019833294,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4044,-6.6
CCOC(=O)C(C)(C)Oc1ccc(N(CC=C(C)C)C(=O)Nc2nccs2)cc1,-5.6,0.4895729118025484,2.7282351138289176,0,1,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_4045,-5.6
NNC(=O)OCc1ccccc1,-5.3,0.3875145981463536,1.7276352265662105,0,0,1,1,1,Ахиральная,True,0,E/Z не применима,ligand_4049,-5.4
Cc1cnc(-c2ccccc2C(C)C)nc1NCC1CCN(C)CC1,-7.1,0.8808657137656635,2.411013316349992,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4051,-7.4
Cc1cnc(-c2ccccc2C(F)F)nc1NCC1CN(c2cnccn2)C1,-7.0,0.7007904879892026,2.775627352354972,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4052,-7.3
CC(=O)C=Cc1ccco1,-4.5,0.5808678174087182,2.3141072787634247,0,0,0,1,1,Ахиральная,True,0,E/Z не указана,ligand_4053,-4.4
CCOc1ccccc1NC(=O)c1cccc(NC(=O)c2ccc(Cl)cc2)c1,-2.6,0.6000910412150692,1.6611885062011211,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4054,-4.0
CC(C)CC=C(C=O)c1ccccc1,-6.0,0.5230162714844346,2.477907804627049,0,1,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_4055,-6.1
